category,osm_key,osm_value,include,reason,decision,secondary_key,rule_type,excluded_values
history_heritage,historic,manor,True,Historic manors may represent architecturally and culturally significant heritage places.,RETAIN,,,
history_heritage,man_made,obelisk,True,Obelisks may represent commemorative or historically significant landmarks.,RETAIN,,,
history_heritage,man_made,windmill,True,Windmills may represent historic or culturally significant structures of visitor interest.,RETAIN,,,
history_heritage,man_made,watermill,True,Watermills may represent historic or culturally significant structures of visitor interest.,RETAIN,,,
history_heritage,man_made,ceremonial_gate,True,Ceremonial gates may represent culturally or historically significant landmarks.,RETAIN,,,
nature,natural,water,True,Water bodies may represent scenic natural destinations; their specific types require subsequent validation.,REFINE,water,classification,
nature,natural,wetland,True,Wetlands may represent natural areas of ecological and visitor interest.,REFINE,wetland,classification,
nature,natural,peak,True,Mountain peaks may represent scenic or exploration-oriented destinations.,RETAIN,,,
nature,natural,cliff,True,Cliffs may represent distinctive natural landmarks or scenic locations.,RETAIN,,,
nature,natural,bare_rock,True,Exposed rock formations may represent distinctive natural landscapes.,RETAIN,,,
nature,natural,beach,True,Beaches represent natural destinations potentially relevant to travelers.,RETAIN,,,
nature,natural,ridge,True,Mountain ridges may represent scenic geographic features relevant to exploration.,RETAIN,,,
nature,natural,spring,True,Natural springs may represent places of scenic or recreational interest.,RETAIN,,,
nature,natural,cape,True,Capes may represent distinctive scenic coastal destinations.,RETAIN,,,
nature,natural,reef,True,Reefs may represent distinctive natural features of visitor interest.,RETAIN,,,
nature,natural,rock,True,Notable rock formations may represent distinctive natural landmarks.,RETAIN,,,
nature,natural,glacier,True,Glaciers represent distinctive natural geographic features.,RETAIN,,,
nature,natural,bay,True,Bays may represent scenic natural destinations relevant to travelers.,RETAIN,,,
nature,natural,cave_entrance,True,Cave entrances may identify natural sites of exploration or visitor interest.,RETAIN,,,
nature,natural,stone,True,Notable stones may represent distinctive natural landmarks.,RETAIN,,,
nature,natural,desert,True,Desert areas may represent distinctive landscapes and exploration destinations.,RETAIN,,,
nature,natural,volcano,True,Volcanoes represent distinctive natural landmarks and potential destinations.,RETAIN,,,
nature,natural,hot_spring,True,Hot springs may represent natural destinations with recreational interest.,RETAIN,,,
nature,natural,saddle,True,Mountain saddles may represent relevant geographic features for outdoor exploration.,RETAIN,,,
nature,natural,valley,True,Valleys may represent scenic geographic destinations.,RETAIN,,,
nature,natural,mountain_range,True,Mountain ranges represent significant natural landscapes relevant to exploration.,RETAIN,,,
nature,natural,hill,True,Hills may represent scenic or exploration-oriented natural destinations.,RETAIN,,,
nature,natural,waterfall,True,Waterfalls represent distinctive natural attractions suitable for route exploration.,RETAIN,,,
nature,natural,strait,True,Straits may represent distinctive scenic geographic features.,RETAIN,,,
nature,natural,gulf,True,Gulfs may represent significant scenic coastal features.,RETAIN,,,
nature,natural,sinkhole,True,Sinkholes may represent distinctive geological features of exploration interest.,RETAIN,,,
nature,natural,islet,True,Islets may represent distinctive natural destinations or scenic features.,RETAIN,,,
nature,natural,dune,True,Dunes may represent distinctive natural landscapes of visitor interest.,RETAIN,,,
nature,natural,geyser,True,Geysers represent distinctive natural phenomena of visitor interest.,RETAIN,,,
nature,natural,peninsula,True,Peninsulas may represent distinctive geographic destinations with scenic value.,RETAIN,,,
nature,leisure,nature_reserve,True,"Nature reserves represent protected natural areas with potential scenic, ecological, and exploration value for travelers.",RETAIN,,,
nature,waterway,waterfall,True,Waterfalls represent distinctive natural features with strong potential relevance for route-oriented exploration.,RETAIN,,,
nature,waterway,rapids,True,Rapids represent distinctive natural water features potentially relevant to outdoor and nature-oriented travelers.,RETAIN,,,
parks_recreation,leisure,park,True,Parks represent recreational green spaces potentially relevant as stops during route exploration.,RETAIN,,,
parks_recreation,leisure,garden,True,Gardens represent landscaped recreational spaces potentially relevant to travelers.,REFINE,access,restriction,private|no
parks_recreation,leisure,picnic_table,True,Picnic tables may represent useful recreational stopping points during a journey.,RETAIN,,,
parks_recreation,leisure,fishing,True,Fishing areas represent outdoor recreational destinations potentially relevant to traveler interests.,RETAIN,,,
parks_recreation,leisure,resort,True,Resorts represent recreational destinations and facilities potentially relevant to travelers.,RETAIN,,,
parks_recreation,leisure,golf_course,True,Golf courses represent recreational facilities potentially relevant to selected traveler interests.,RETAIN,,,
parks_recreation,leisure,swimming_pool,True,Swimming pools represent recreational facilities that may be relevant to travelers and require subsequent validation.,REFINE,access,restriction,private|no
parks_recreation,leisure,sauna,True,Saunas represent leisure and wellness facilities potentially relevant to traveler interests.,RETAIN,,,
parks_recreation,leisure,horse_riding,True,Horse riding facilities represent recreational destinations potentially relevant to traveler interests.,RETAIN,,,
food_drink,amenity,restaurant,True,Restaurants represent relevant meal stops for travelers during a journey.,RETAIN,,,
food_drink,amenity,cafe,True,Cafés represent convenient refreshment and short stopping points during route exploration.,RETAIN,,,
food_drink,amenity,fast_food,True,Fast-food establishments provide practical meal stops during a journey.,RETAIN,,,
food_drink,amenity,bar,True,Bars represent food and drink destinations potentially relevant to traveler interests.,RETAIN,,,
food_drink,amenity,ice_cream,True,Ice-cream establishments may provide short refreshment stops during route exploration.,RETAIN,,,
food_drink,amenity,pub,True,Pubs represent food and drink destinations potentially relevant to traveler interests.,RETAIN,,,
accommodation,tourism,hotel,True,Hotels represent explicit traveler accommodation.,RETAIN,,,
accommodation,tourism,hostel,True,Hostels represent traveler-oriented accommodation.,RETAIN,,,
accommodation,tourism,guest_house,True,Guest houses represent short-term accommodation potentially relevant to travelers.,RETAIN,,,
accommodation,tourism,motel,True,Motels provide accommodation particularly relevant to road-based travel.,RETAIN,,,
accommodation,tourism,apartment,True,Tourism apartments represent short-term accommodation for travelers.,RETAIN,,,
accommodation,tourism,chalet,True,Chalets represent visitor accommodation potentially relevant to recreational travel.,RETAIN,,,
accommodation,tourism,cabin,True,Cabins represent visitor accommodation potentially relevant to nature-oriented travel.,RETAIN,,,
accommodation,tourism,camp_site,True,Campsites provide traveler accommodation and are particularly relevant to outdoor exploration.,RETAIN,,,
accommodation,tourism,caravan_site,True,Caravan sites provide accommodation infrastructure relevant to road-based travel.,RETAIN,,,
accommodation,tourism,camp_pitch,True,Camp pitches represent individual camping accommodation facilities.,RETAIN,,,
accommodation,tourism,alpine_hut,True,Alpine huts provide accommodation for travelers exploring mountainous areas.,RETAIN,,,
accommodation,tourism,wilderness_hut,True,Wilderness huts provide basic accommodation relevant to outdoor exploration.,RETAIN,,,
entertainment,tourism,zoo,True,Zoos represent visitor-oriented entertainment and educational destinations.,RETAIN,,,
entertainment,tourism,theme_park,True,Theme parks represent explicit visitor-oriented entertainment destinations.,RETAIN,,,
entertainment,tourism,aquarium,True,Aquariums represent visitor-oriented entertainment and educational destinations.,RETAIN,,,
entertainment,leisure,water_park,True,Water parks represent dedicated recreational entertainment destinations.,RETAIN,,,
entertainment,amenity,nightclub,True,Nightclubs represent nightlife entertainment potentially relevant to traveler interests.,RETAIN,,,
entertainment,amenity,casino,True,Casinos represent dedicated entertainment destinations potentially relevant to traveler interests.,RETAIN,,,
markets_shopping,amenity,marketplace,True,Marketplaces may represent locally relevant commercial destinations and useful stops for travelers.,RETAIN,,,
markets_shopping,shop,convenience,True,Convenience stores provide practical supplies that may be useful during a journey.,RETAIN,,,
markets_shopping,shop,supermarket,True,Supermarkets provide practical food and travel supplies during a journey.,RETAIN,,,
markets_shopping,shop,bakery,True,Bakeries may provide both practical food stops and locally relevant shopping experiences.,RETAIN,,,
markets_shopping,shop,mall,True,Shopping malls represent major commercial destinations potentially useful to travelers.,RETAIN,,,
markets_shopping,shop,greengrocer,True,Greengrocers may provide fresh local products and practical supplies for travelers.,RETAIN,,,
markets_shopping,shop,alcohol,True,Specialized beverage shops may represent useful commercial stops for travelers.,RETAIN,,,
markets_shopping,shop,beverages,True,Beverage shops provide refreshments and supplies potentially useful during a journey.,RETAIN,,,
markets_shopping,shop,department_store,True,Department stores represent general shopping destinations potentially useful to travelers.,RETAIN,,,
markets_shopping,shop,gift,True,Gift shops may provide souvenirs and locally relevant products for travelers.,RETAIN,,,
markets_shopping,shop,confectionery,True,Confectionery shops may provide locally relevant food products and short shopping stops.,RETAIN,,,
markets_shopping,shop,pastry,True,Pastry shops may provide local food products and convenient stops during a journey.,RETAIN,,,
markets_shopping,shop,books,True,Bookshops may represent culturally relevant shopping destinations for selected traveler interests.,RETAIN,,,
markets_shopping,shop,coffee,True,Coffee shops selling coffee products may represent locally relevant shopping stops for travelers.,RETAIN,,,
health_pharmacy,amenity,pharmacy,True,Pharmacies provide essential medication and health-related services that may be useful during a journey.,RETAIN,,,
health_pharmacy,amenity,hospital,True,Hospitals provide essential healthcare services that may be important to travelers.,RETAIN,,,
health_pharmacy,amenity,clinic,True,Clinics provide healthcare services that may be useful during travel.,RETAIN,,,
health_pharmacy,amenity,doctors,True,Medical practices provide healthcare access that may be useful to travelers.,RETAIN,,,
transport_travel,amenity,fuel,True,Fuel stations provide an important practical service for travelers using road-based routes.,RETAIN,,,
transport_travel,amenity,parking,True,Parking facilities may be useful when stopping at destinations or points of interest along a route.,RETAIN,,,
transport_travel,amenity,parking_entrance,True,Parking entrances may provide useful access information for parking facilities near route destinations.,EXCLUDE,,,
transport_travel,amenity,bus_station,True,Bus stations represent transport facilities potentially useful to travelers during a journey.,RETAIN,,,
transport_travel,amenity,car_wash,True,Car washes represent optional vehicle-related services that may be useful during road travel.,RETAIN,,,
