category,osm_key,osm_value,include,reason
nature,waterway,rapids,True,Rapids represent distinctive natural water features potentially relevant to outdoor and nature-oriented travelers.
parks_recreation,leisure,park,True,Parks represent recreational green spaces potentially relevant as stops during route exploration.
parks_recreation,leisure,garden,True,Gardens represent landscaped recreational spaces potentially relevant to travelers.
parks_recreation,leisure,picnic_table,True,Picnic tables may represent useful recreational stopping points during a journey.
parks_recreation,leisure,fishing,True,Fishing areas represent outdoor recreational destinations potentially relevant to traveler interests.
parks_recreation,leisure,resort,True,Resorts represent recreational destinations and facilities potentially relevant to travelers.
parks_recreation,leisure,golf_course,True,Golf courses represent recreational facilities potentially relevant to selected traveler interests.
parks_recreation,leisure,swimming_pool,True,Swimming pools represent recreational facilities that may be relevant to travelers and require subsequent validation.
parks_recreation,leisure,sauna,True,Saunas represent leisure and wellness facilities potentially relevant to traveler interests.
parks_recreation,leisure,horse_riding,True,Horse riding facilities represent recreational destinations potentially relevant to traveler interests.
food_drink,amenity,restaurant,True,Restaurants represent relevant meal stops for travelers during a journey.
food_drink,amenity,cafe,True,Cafés represent convenient refreshment and short stopping points during route exploration.
food_drink,amenity,fast_food,True,Fast-food establishments provide practical meal stops during a journey.
food_drink,amenity,bar,True,Bars represent food and drink destinations potentially relevant to traveler interests.
food_drink,amenity,ice_cream,True,Ice-cream establishments may provide short refreshment stops during route exploration.
food_drink,amenity,pub,True,Pubs represent food and drink destinations potentially relevant to traveler interests.
accommodation,tourism,hotel,True,Hotels represent explicit traveler accommodation.
accommodation,tourism,hostel,True,Hostels represent traveler-oriented accommodation.
accommodation,tourism,guest_house,True,Guest houses represent short-term accommodation potentially relevant to travelers.
accommodation,tourism,motel,True,Motels provide accommodation particularly relevant to road-based travel.
accommodation,tourism,apartment,True,Tourism apartments represent short-term accommodation for travelers.
accommodation,tourism,chalet,True,Chalets represent visitor accommodation potentially relevant to recreational travel.
accommodation,tourism,cabin,True,Cabins represent visitor accommodation potentially relevant to nature-oriented travel.
accommodation,tourism,camp_site,True,Campsites provide traveler accommodation and are particularly relevant to outdoor exploration.
accommodation,tourism,caravan_site,True,Caravan sites provide accommodation infrastructure relevant to road-based travel.
accommodation,tourism,camp_pitch,True,Camp pitches represent individual camping accommodation facilities.
accommodation,tourism,alpine_hut,True,Alpine huts provide accommodation for travelers exploring mountainous areas.
accommodation,tourism,wilderness_hut,True,Wilderness huts provide basic accommodation relevant to outdoor exploration.
entertainment,tourism,zoo,True,Zoos represent visitor-oriented entertainment and educational destinations.
entertainment,tourism,theme_park,True,Theme parks represent explicit visitor-oriented entertainment destinations.
entertainment,tourism,aquarium,True,Aquariums represent visitor-oriented entertainment and educational destinations.
entertainment,leisure,water_park,True,Water parks represent dedicated recreational entertainment destinations.
entertainment,amenity,nightclub,True,Nightclubs represent nightlife entertainment potentially relevant to traveler interests.
entertainment,amenity,casino,True,Casinos represent dedicated entertainment destinations potentially relevant to traveler interests.
markets_shopping,amenity,marketplace,True,Marketplaces may represent locally relevant commercial destinations and useful stops for travelers.
markets_shopping,shop,convenience,True,Convenience stores provide practical supplies that may be useful during a journey.
markets_shopping,shop,supermarket,True,Supermarkets provide practical food and travel supplies during a journey.
markets_shopping,shop,bakery,True,Bakeries may provide both practical food stops and locally relevant shopping experiences.
markets_shopping,shop,mall,True,Shopping malls represent major commercial destinations potentially useful to travelers.
markets_shopping,shop,greengrocer,True,Greengrocers may provide fresh local products and practical supplies for travelers.
markets_shopping,shop,alcohol,True,Specialized beverage shops may represent useful commercial stops for travelers.
markets_shopping,shop,beverages,True,Beverage shops provide refreshments and supplies potentially useful during a journey.
markets_shopping,shop,department_store,True,Department stores represent general shopping destinations potentially useful to travelers.
markets_shopping,shop,gift,True,Gift shops may provide souvenirs and locally relevant products for travelers.
markets_shopping,shop,confectionery,True,Confectionery shops may provide locally relevant food products and short shopping stops.
markets_shopping,shop,pastry,True,Pastry shops may provide local food products and convenient stops during a journey.
markets_shopping,shop,books,True,Bookshops may represent culturally relevant shopping destinations for selected traveler interests.
markets_shopping,shop,coffee,True,Coffee shops selling coffee products may represent locally relevant shopping stops for travelers.
health_pharmacy,amenity,pharmacy,True,Pharmacies provide essential medication and health-related services that may be useful during a journey.
health_pharmacy,amenity,hospital,True,Hospitals provide essential healthcare services that may be important to travelers.
health_pharmacy,amenity,clinic,True,Clinics provide healthcare services that may be useful during travel.
health_pharmacy,amenity,doctors,True,Medical practices provide healthcare access that may be useful to travelers.
transport_travel,amenity,fuel,True,Fuel stations provide an important practical service for travelers using road-based routes.
transport_travel,amenity,parking,True,Parking facilities may be useful when stopping at destinations or points of interest along a route.
transport_travel,amenity,parking_entrance,True,Parking entrances may provide useful access information for parking facilities near route destinations.
transport_travel,amenity,bus_station,True,Bus stations represent transport facilities potentially useful to travelers during a journey.
transport_travel,amenity,car_wash,True,Car washes represent optional vehicle-related services that may be useful during road travel.
